Run,Implementation,Insert Time (s),Lookup Time (s),Delete Time (s)
1,Python HashTable,193.4873085230065,60.534826055023586,24.764444177999394
2,Python HashTable,191.48529867897741,61.40569375100313,25.14255619700998
3,Python HashTable,191.6662651739898,62.57874617597554,25.089075326017337
4,Python HashTable,195.71207573299762,60.96409257201594,25.045528497023042
5,Python HashTable,191.7917227569851,61.17166184898815,25.020128906995524
6,Python HashTable,190.3122163930093,60.53597837302368,24.951735664973967
7,Python HashTable,190.55471228199895,60.774359744013054,25.159041798004182
8,Python HashTable,190.57206960601616,60.84826541598886,24.762981437001145
9,Python HashTable,190.8387963360001,60.50499463098822,24.142636561009567
10,Python HashTable,184.93311059800908,59.17786990798777,24.27187307199347
11,Cython HashTable (Optimized),6.395300589007093,5.074281503009843,1.5222388250113
12,Cython HashTable (Optimized),6.008893674006686,5.015613064984791,1.4968083839921746
13,Cython HashTable (Optimized),6.00118169101188,5.019898303988157,1.5001204860163853
14,Cython HashTable (Optimized),6.0014495629875455,5.026062835997436,1.5008323520014528
15,Cython HashTable (Optimized),6.037601131014526,5.002031796000665,1.4936882040055934
16,Cython HashTable (Optimized),6.071901893999893,5.099318570020841,1.5022772870142944
17,Cython HashTable (Optimized),6.007250943977851,5.007679686998017,1.495204221981112
18,Cython HashTable (Optimized),6.016853697015904,5.0047990909952205,1.492705062002642
19,Cython HashTable (Optimized),6.015383818012197,5.016993708995869,1.4996696999878623
20,Cython HashTable (Optimized),6.0496896319964435,5.206453095015604,1.5085936560062692
