Run,Implementation,Insert Time (s),Lookup Time (s),Delete Time (s)
1,Cython HashTable (UnOptimized),6.8764993799850345,5.07044060100452,1.4918204979912844
2,Cython HashTable (UnOptimized),6.301401556993369,5.105853732995456,1.500996524002403
3,Cython HashTable (UnOptimized),6.070577850972768,5.2197094479925,1.46687332901638
4,Cython HashTable (UnOptimized),6.128472929005511,5.116520440002205,1.5751049809914548
5,Cython HashTable (UnOptimized),6.134317581017967,5.0899598140094895,1.4742612570116762
6,Cython HashTable (UnOptimized),6.4015202629962005,5.038199780014111,1.4743711300252471
7,Cython HashTable (UnOptimized),6.125814049009932,5.029924856004072,1.4711999360006303
8,Cython HashTable (UnOptimized),6.181014084984781,5.020012263004901,1.4781917110085487
9,Cython HashTable (UnOptimized),6.549045565014239,5.562920613010647,1.5502171989937779
10,Cython HashTable (UnOptimized),6.437025621009525,5.109861016011564,1.5029767020023428
